"All schools that appeared in the top 100 of USNWR, 2008-13",,,,,,,,,,,,,
,,,,,,,,,,,,,
2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,,Average
University of Mass. Amherst,96,University of Mass.  Amherst*,102,University of Mass. Amherst*,106,University of Massachusetts  Amherst*,99,University of MassachusettsAmherst,94,University of Massachusetts—​Amherst,91,,98.00
University of Miami (FL),52,University of Miami (FL),51,University of Miami (FL),50,University of Miami (FL),47,University of Miami,38,University of Miami,47,,47.50
University of Michigan Ann Arbor,25,University of Michigan  Ann Arbor*,26,University of Michigan Ann Arbor*,27,University of Michigan  Ann Arbor*,29,University of MichiganAnn Arbor,28,University of Michigan—​Ann Arbor,28,,27.17
University of Minnesota Twin Cities,71,University of Minnesota  Twin Cities*,61,University of Minnesota Twin Cities*,61,University of Minnesota  Twin Cities*,64,University of MinnesotaTwin Cities,68,University of Minnesota—​Twin Cities,69,,65.67
University of Missouri Columbia,91,University of Missouri  Columbia*,96,University of Missouri*,102,University of Missouri*,94,University of Missouri,90,University of Missouri,97,,95.00
University of Nebraska Lincoln,91,University of Nebraska  Lincoln*,89,University of Nebraska Lincoln*,96,University of Nebraska Lincoln,104,University of NebraskaLincoln,101,University of NebraskaLincoln,101,,97.00
University of North Carolina Chapel Hill,28,University of North Carolina  Chapel Hill*,30,University of North Carolina Chapel Hill*,28,University of North Carolina  Chapel Hill*,30,University of North CarolinaChapel Hill,29,University of North Carolina—​Chapel Hill,30,,29.17
University of Notre Dame (IN),19,University of Notre Dame (IN),18,University of Notre Dame (IN),20,University of Notre Dame (IN),19,University of Notre Dame,19,University of Notre Dame,18,,18.83
University of Pennsylvania,5,University of Pennsylvania,6,University of Pennsylvania,4,University of Pennsylvania,5,University of Pennsylvania,5,University of Pennsylvania,7,,5.33
University of Pittsburgh,59,University of Pittsburgh*,58,University of Pittsburgh*,56,University of Pittsburgh*,64,University of Pittsburgh,58,University of Pittsburgh,62,,59.50
University of Rochester (NY),35,University of Rochester (NY),35,University of Rochester (NY),35,University of Rochester (NY),37,University of Rochester,35,University of Rochester,32,,34.83
University of San Diego,107,University of San Diego,102,University of San Diego,110,University of San Diego,94,University of San Diego,97,University of San Diego,91,,100.17
University of Southern California,27,University of Southern California,27,University of Southern California,26,University of Southern California,23,University of Southern California,23,University of Southern California,23,,24.83
University of Texas Austin,44,University of Texas  Austin*,47,University of Texas Austin*,47,University of Texas  Austin*,45,University of TexasAustin,45,University of Texas—​Austin,52,,46.67
University of Tulsa (OK),91,University of Tulsa (OK),83,University of Tulsa (OK),88,University of Tulsa (OK),93,University of Tulsa,75,University of Tulsa,86,,86.00
University of Vermont,96,University of Vermont*,89,University of Vermont*,88,University of Vermont*,94,University of Vermont,82,University of Vermont,82,,88.50
University of Virginia,23,University of Virginia*,23,University of Virginia*,24,University of Virginia*,25,University of Virginia,25,University of Virginia,23,,23.83
University of Washington,42,University of Washington*,41,University of Washington*,42,University of Washington*,41,University of Washington,42,University of Washington,52,,43.33
University of Wisconsin Madison,38,University of Wisconsin  Madison*,35,University of Wisconsin Madison*,39,University of Wisconsin  Madison*,45,University of WisconsinMadison,42,University of Wisconsin—​Madison,41,,40.00
Vanderbilt University (TN),19,Vanderbilt University (TN),18,Vanderbilt University (TN),17,Vanderbilt University (TN),17,Vanderbilt University,17,Vanderbilt University,17,,17.50
Virginia Tech,71,Virginia Tech*,71,Virginia Tech*,71,Virginia Tech*,69,Virginia Tech,71,Virginia Tech,69,,70.33
Wake Forest University (NC),30,Wake Forest University (NC),28,Wake Forest University (NO,28,Wake Forest University (NC),25,Wake Forest University,25,Wake Forest University,23,,26.50
Washington University in St. Louis,12,Washington University in St. Louis,12,Washington University in St. Louis,12,Washington University in St. Louis,13,Washington University in St. Louis,14,Washington University in St. Louis,14,,12.83
Worcester Poly. Inst. (MA),62,Worcester Poly. Inst. (MA),71,Worcester Polytech. Inst. (MA),68,Worcester Polytechnic Inst. (MA),64,Worcester Polytechnic Institute,62,Worcester Polytechnic Institute,62,,64.83
Yale University (CT),3,Yale University (CT),3,Yale University (CT),3,Yale University (CT),3,Yale University,3,Yale University,3,,3.00
Yeshiva University (NY),52,Yeshiva University (NY),50,Yeshiva University (NY),52,Yeshiva University (NY),50,Yeshiva University,45,Yeshiva University,47,,49.33
University of New Hampshire[*],108,University of New Hampshire*,113,Univ. of New Hampshire*,110,Univ. of New Hampshire*,104,University of New Hampshire,101,University of New Hampshire,97,,105.50
Florida State University[*],112,Florida State University*,102,Florida State University*,102,Florida State University*,104,Florida State University,101,Florida State University,91,,102.00
